# t Temp Pres Epot Etot
49.350000 2.007122 1.905720 -1862.581091 -357.239660
49.400000 2.001724 1.396650 -1940.028184 -438.735183
49.450000 2.000485 1.462124 -1936.589286 -436.225528
49.500000 1.991050 1.843784 -1887.296220 -394.009063
49.550000 2.009420 1.795739 -1893.147002 -386.081853
49.600000 2.004089 1.541344 -1923.634836 -420.567893
49.650000 1.992510 1.726346 -1885.725193 -391.342968
49.700000 1.999550 1.823388 -1872.482159 -372.819797
49.750000 1.990189 1.990188 -1847.510018 -354.868124
49.800000 2.007748 1.818453 -1881.726508 -375.915395
49.850000 1.995745 2.161403 -1823.084952 -326.275964
49.900000 1.993860 1.886917 -1878.327109 -382.931751
49.950000 1.999484 2.234199 -1818.324869 -318.712063
50.000000 2.003044 1.939316 -1848.875046 -346.592342
50.050000 2.004660 1.606439 -1885.624906 -382.129943
50.100000 1.990652 1.854275 -1845.700110 -352.710748
50.150000 2.013015 1.731160 -1872.765846 -363.004357
50.200000 2.000587 1.537019 -1900.777921 -400.338043
50.250000 1.999377 1.795652 -1850.387676 -350.855074
50.300000 1.995495 1.460131 -1902.465582 -405.844410
50.350000 2.003486 1.639723 -1877.934292 -375.319601
50.400000 1.982983 2.256484 -1785.306884 -298.069917
50.450000 2.012325 2.072924 -1816.445926 -307.202542
50.500000 2.013257 1.326752 -1922.801850 -412.859100
50.550000 1.980804 1.563916 -1887.979568 -402.376542
50.600000 1.998574 1.970164 -1843.118628 -344.188035
50.650000 2.000663 1.859282 -1868.092152 -367.595276
50.700000 1.998719 2.086084 -1829.407320 -330.368216
50.750000 1.997864 2.153456 -1812.827023 -314.429203
50.800000 2.007830 1.970276 -1839.394446 -333.522005
50.850000 1.996262 1.630867 -1888.970416 -391.774249
50.900000 2.001062 1.953117 -1827.677297 -326.880829
50.950000 2.008288 1.935942 -1829.406799 -323.190784
51.000000 2.003762 1.651752 -1868.106006 -365.284378
51.050000 2.000849 1.709296 -1860.636231 -359.999720
51.100000 2.000382 1.858499 -1844.916986 -344.630148
51.150000 2.008630 1.792762 -1854.860096 -348.387897
51.200000 2.002427 1.577328 -1888.458659 -386.638242
51.250000 1.995063 1.921259 -1839.886557 -343.588952
51.300000 2.001164 1.730604 -1871.707047 -370.834410
51.350000 1.998723 1.420397 -1917.694479 -418.652274
51.400000 2.008833 1.382792 -1927.082803 -420.458167
51.450000 1.995800 1.643169 -1894.045451 -397.195135
51.500000 1.991747 1.977408 -1850.448826 -356.638514
51.550000 1.984381 2.175447 -1827.995659 -339.710281
51.600000 2.013499 2.361075 -1796.348802 -286.224712
51.650000 2.008423 1.943064 -1851.899988 -345.582782
51.700000 2.002608 1.822158 -1855.607955 -353.651704
51.750000 2.002805 1.694441 -1871.539420 -369.435568
51.800000 1.991802 1.807130 -1859.023546 -365.171786
51.850000 2.004667 1.832363 -1858.817184 -355.316948
51.900000 2.007270 1.655617 -1887.439005 -381.986741
51.950000 1.991103 1.760578 -1874.874205 -381.547014
52.000000 1.996158 2.034360 -1833.678964 -336.560689
52.050000 2.007872 1.781196 -1874.083952 -368.180145
52.100000 1.999235 1.789264 -1867.053955 -367.627665
52.150000 2.009108 1.359935 -1940.069262 -433.238091
52.200000 1.994383 1.745874 -1873.984618 -378.197640
52.250000 1.992963 1.449863 -1923.717731 -428.995784
52.300000 1.999111 1.507754 -1912.254679 -412.921281
52.350000 1.992977 1.816776 -1857.190051 -362.457326
52.400000 2.003496 1.365050 -1930.614677 -427.992957
52.450000 1.989142 1.862626 -1850.549156 -358.692552
52.500000 1.991789 0.979144 -1603.578279 -109.736489
52.550000 2.003803 1.121271 -1572.353734 -69.501116
52.600000 1.999847 0.942685 -1596.008740 -96.123715
52.650000 1.999111 1.030542 -1574.293592 -74.960501
52.700000 1.994203 0.931708 -1595.388595 -99.736569
52.750000 2.001377 1.046310 -1579.947261 -78.914664
52.800000 2.000760 1.379592 -1516.763286 -16.193231
52.850000 1.986874 1.159855 -1570.364138 -80.208482
52.900000 1.992995 1.316578 -1543.809872 -49.063496
52.950000 2.001197 1.437124 -1518.117989 -17.220270
53.000000 2.010562 1.301561 -1531.652217 -23.730856
53.050000 2.002028 0.987265 -1571.720004 -70.199017
53.100000 1.994917 0.709220 -1622.277616 -126.089816
53.150000 2.009114 0.945694 -1580.181229 -73.345892
53.200000 1.997829 0.837043 -1607.034652 -108.662961
53.250000 2.003621 1.048038 -1576.071116 -73.355527
53.300000 2.003847 0.942513 -1600.103966 -97.218982
53.350000 1.994531 1.013182 -1588.555607 -92.657148
53.400000 1.998100 1.009077 -1602.444318 -103.869127
53.450000 2.006198 1.226106 -1566.145623 -61.496785
53.500000 2.010684 1.071328 -1588.033421 -80.020583
53.550000 1.998435 1.161587 -1558.485449 -59.659130
53.600000 1.995338 0.859997 -1610.249166 -113.745842
53.650000 2.003954 0.864087 -1599.223324 -96.258154
53.700000 1.982814 1.014318 -1563.871287 -76.760462
53.750000 2.013609 0.766097 -1610.095522 -99.888578
53.800000 1.997125 0.825812 -1582.733091 -84.889111
53.850000 1.987369 0.953189 -1562.630169 -72.103308
53.900000 1.997754 1.187983 -1526.354154 -28.038648
53.950000 2.001100 1.130240 -1547.784069 -46.959309
54.000000 1.999677 1.189906 -1540.972248 -41.214344
54.050000 2.009402 0.929753 -1589.744023 -82.692459
54.100000 2.001257 0.760141 -1621.174864 -120.231948
54.150000 2.002573 1.089845 -1566.786767 -64.856989
54.200000 1.996862 1.201013 -1548.321581 -50.675422
54.250000 2.003464 1.113808 -1571.704560 -69.106428
54.300000 1.997834 1.322809 -1532.619803 -34.244466
54.350000 1.994568 1.164744 -1564.158051 -68.232241
54.400000 2.018551 0.946940 -1601.812229 -87.898823
54.450000 1.991075 1.050984 -1568.751297 -75.445054
54.500000 2.006108 0.947969 -1586.295024 -81.714100
54.550000 2.003376 1.038705 -1565.987587 -63.455944
54.600000 1.991603 1.055748 -1567.080790 -73.378444
54.650000 1.998766 1.150651 -1553.956990 -54.882200
54.700000 2.002039 0.955008 -1593.141612 -91.612652
54.750000 1.994568 1.054240 -1578.883976 -82.957770
54.800000 1.998409 1.141705 -1572.165986 -73.359061
54.850000 2.004976 1.073693 -1590.383739 -86.652071
54.900000 2.007022 1.240517 -1552.631770 -47.365440
54.950000 1.994618 1.086106 -1576.756428 -80.793201
55.000000 2.014543 0.928617 -1597.075482 -86.168029
55.050000 1.990494 0.963611 -1591.162550 -98.292305
55.100000 1.991181 1.412454 -1514.747052 -21.361450
55.150000 2.011460 1.259179 -1543.608920 -35.013695
55.200000 2.000591 0.952640 -1592.592111 -92.148665
55.250000 1.999884 0.916244 -1595.769340 -95.856406
55.300000 2.011418 1.016576 -1577.108819 -68.545073
55.350000 1.990007 0.910929 -1601.321221 -108.815877
55.400000 1.986990 1.185537 -1555.420372 -65.177530
55.450000 1.996136 1.371140 -1520.919893 -23.817534
55.500000 1.996056 1.123412 -1579.577597 -82.535715
55.550000 2.007587 1.285460 -1559.029935 -53.339667
55.600000 2.000437 1.152901 -1582.679424 -82.351738
55.650000 2.001019 1.062902 -1597.319523 -96.555016
55.700000 2.002423 0.854736 -1639.606317 -137.789375
55.750000 1.992157 1.026687 -1606.376009 -112.258089
55.800000 2.004680 1.224805 -1566.712516 -63.202880
55.850000 1.995732 1.126661 -1580.801705 -84.002798
55.900000 2.001359 1.000358 -1605.233817 -104.214906
55.950000 1.989358 1.167880 -1575.507676 -83.489186
56.000000 2.006897 1.162655 -1576.114676 -70.941644
56.050000 1.999642 0.903969 -1615.619689 -115.888197
56.100000 1.997502 0.947518 -1598.996552 -100.869830
56.150000 2.003269 1.036215 -1590.075804 -87.623901
56.200000 1.999813 1.117750 -1576.031585 -76.171800
56.250000 1.999892 1.049325 -1588.220240 -88.301350
56.300000 2.000380 0.994580 -1596.850432 -96.565446
56.350000 1.993047 1.282352 -1539.259393 -44.474467
56.400000 2.006383 1.353522 -1520.044057 -15.257050
56.450000 1.997613 1.129290 -1558.595892 -60.385864
56.500000 1.999997 1.204950 -1544.658256 -44.660139
56.550000 2.001587 1.160166 -1548.773147 -47.582597
56.600000 2.006986 0.937141 -1585.901022 -80.661382
56.650000 1.994790 0.989759 -1571.108394 -75.015773
56.700000 2.001454 0.795464 -1609.593177 -108.502899
56.750000 1.995554 0.924569 -1587.879118 -91.213660
56.800000 2.001247 1.074434 -1564.866235 -63.930755
56.850000 1.992242 1.305620 -1523.822405 -29.641089
56.900000 2.004103 1.279813 -1544.307192 -41.229572
56.950000 2.008417 1.429562 -1528.681984 -22.369001
57.000000 2.001582 1.226185 -1573.185993 -71.999146
57.050000 1.998178 1.098655 -1596.012058 -97.378323
57.100000 2.004881 1.383988 -1534.527179 -30.866579
57.150000 2.001356 1.329608 -1536.728988 -35.712082
57.200000 2.000535 1.234656 -1537.443572 -37.042435
57.250000 2.007736 1.061566 -1558.578540 -52.776511
57.300000 1.993663 0.974689 -1579.024604 -83.777412
57.350000 2.005018 1.108962 -1558.490780 -54.727125
57.400000 1.989704 1.109694 -1563.788885 -71.511230
57.450000 2.012010 1.261490 -1542.692372 -33.684658
57.500000 2.003354 1.158900 -1564.394270 -61.878758
57.550000 1.991398 1.267857 -1541.569487 -48.020833
57.600000 2.009821 1.154920 -1563.135332 -55.769552
57.650000 1.985367 1.179992 -1556.249289 -67.223992
57.700000 2.009846 1.215107 -1551.509752 -44.125607
57.750000 2.010355 0.982242 -1597.844079 -90.077788
57.800000 1.996347 1.160381 -1570.600508 -73.340439
57.850000 2.004951 0.987271 -1612.147271 -108.433702
57.900000 2.000754 1.323917 -1548.499221 -47.934081
57.950000 1.996572 1.134197 -1586.345355 -88.916346
58.000000 2.001303 1.244640 -1563.851362 -62.874008
58.050000 1.994586 1.207010 -1574.903099 -78.963598
58.100000 1.996630 1.265101 -1570.337168 -72.864404
